"در مقاله «ترنسفورمر ناهنجاری»، ایدهٔ اصلی چیست؟","تشخیص ناهنجاری بر اساس الگوی ارتباط هر نقطه با کل سری زمانی، نه فقط مقدار آن نقطه."
"در مقاله «ترنسفورمر ناهنجاری»، مهم‌ترین مشاهدهٔ نویسندگان چیست؟",نقاط ناهنجار به دلیل کمیاب بودن نمی‌توانند ارتباط قوی با کل سری برقرار کنند و بیشتر به همسایه‌های نزدیک خود وابسته‌اند.
"در مقاله «ترنسفورمر ناهنجاری»، مشکل روش‌های قبلی چیست؟",آن‌ها بیشتر بر نمایش هر نقطه یا روابط محدود تمرکز می‌کنند و پویایی پیچیدهٔ سری زمانی را به‌خوبی مدل نمی‌کنند.
"در مقاله «ترنسفورمر ناهنجاری»، مزیت معماری ترنسفورمر چیست؟",می‌تواند ارتباط هر نقطه را با تمام نقاط سری زمانی یاد بگیرد.
"در مقاله «ترنسفورمر ناهنجاری»، منظور از «ارتباط سری» چیست؟",الگوی ارتباطی واقعی که از داده‌ها یاد گرفته می‌شود.
"در مقاله «ترنسفورمر ناهنجاری»، منظور از «ارتباط پیشین» چیست؟",فرض اولیه‌ای که هر نقطه باید بیشتر به همسایه‌های زمانی نزدیک خود توجه کند.
"در مقاله «ترنسفورمر ناهنجاری»، چرا ارتباط پیشین مهم است؟",چون ساختار طبیعی سری زمانی معمولاً وابستگی بیشتری به نقاط نزدیک دارد.
"در مقاله «ترنسفورمر ناهنجاری»، «ناهمخوانی ارتباطی» چیست؟",اختلاف میان ارتباط پیشین و ارتباط واقعی هر نقطه.
"در مقاله «ترنسفورمر ناهنجاری»، معیار اصلی تشخیص ناهنجاری چیست؟",ناهمخوانی ارتباطی.
"در مقاله «ترنسفورمر ناهنجاری»، رفتار نقاط عادی از نظر ناهمخوانی ارتباطی چگونه است؟",معمولاً ناهمخوانی ارتباطی بزرگ‌تری دارند.
"در مقاله «ترنسفورمر ناهنجاری»، رفتار نقاط ناهنجار از نظر ناهمخوانی ارتباطی چگونه است؟",معمولاً ناهمخوانی ارتباطی کوچک‌تری دارند.
"در مقاله «ترنسفورمر ناهنجاری»، چرا نقاط ناهنجار ناهمخوانی ارتباطی کوچکی دارند؟",چون ارتباط آن‌ها عمدتاً در اطراف همسایگی محلی متمرکز می‌شود.
"در مقاله «ترنسفورمر ناهنجاری»، «توجه ناهنجاری» چیست؟",سازوکاری که هم‌زمان ارتباط پیشین و ارتباط واقعی را مدل می‌کند.
"در مقاله «ترنسفورمر ناهنجاری»، از توزیع گاوسی برای چه استفاده می‌شود؟",برای مدل‌سازی تمایل طبیعی هر نقطه به توجه بیشتر به نقاط نزدیک.
"در مقاله «ترنسفورمر ناهنجاری»، پارامتر سیگما چه نقشی دارد؟",میزان گستردگی ناحیهٔ توجه محلی را تعیین می‌کند.
"در مقاله «ترنسفورمر ناهنجاری»، هدف راهبرد کمینه ـ بیشینه چیست؟",افزایش فاصلهٔ رفتاری میان نقاط عادی و ناهنجار.
"در مقاله «ترنسفورمر ناهنجاری»، در مرحلهٔ کمینه‌سازی چه اتفاقی می‌افتد؟",ارتباط پیشین به ارتباط واقعی نزدیک می‌شود.
"در مقاله «ترنسفورمر ناهنجاری»، در مرحلهٔ بیشینه‌سازی چه اتفاقی می‌افتد؟",ارتباط واقعی از ارتباط پیشین دورتر می‌شود.
"در مقاله «ترنسفورمر ناهنجاری»، نتیجهٔ راهبرد کمینه ـ بیشینه چیست؟",تشخیص ناهنجاری آسان‌تر و تمایز بین نقاط عادی و ناهنجار بیشتر می‌شود.
"در مقاله «ترنسفورمر ناهنجاری»، معیار نهایی تشخیص چگونه ساخته می‌شود؟",از ترکیب خطای بازسازی و ناهمخوانی ارتباطی.
"در مقاله «ترنسفورمر ناهنجاری»، چرا خطای بازسازی به‌تنهایی کافی نیست؟",زیرا برخی ناهنجاری‌ها نیز ممکن است به‌خوبی بازسازی شوند.
"در مقاله «ترنسفورمر ناهنجاری»، مهم‌ترین نوآوری چیست؟",معرفی ناهمخوانی ارتباطی به‌عنوان معیار ذاتی تشخیص ناهنجاری.
"در مقاله «ترنسفورمر ناهنجاری»، پیام اصلی مقاله در یک جمله چیست؟","ناهنجاری را از روی نحوهٔ ارتباط آن با کل سری زمانی تشخیص بده، نه فقط از روی مقدار آن."
"در مقاله «ترنسفورمر ناهنجاری»، مهم‌ترین نکته‌ای که باید به خاطر سپرد چیست؟",نقاط ناهنجار نمی‌توانند مانند نقاط عادی با کل سری زمانی ارتباط معنادار برقرار کنند و همین تفاوت کلید تشخیص آن‌هاست.
